date,category,node_count,inflow,outflow,within_sector_exposure,cross_sector_inflow,cross_sector_outflow,activity,log_activity,net_inflow,exposure_shift_ratio,contraction_score,network_degree,network_pressure,connection_concentration,forecast_date,target_contraction_next_week,contraction_lag_1,contraction_lag_2,contraction_lag_3,contraction_lag_4,sample
2023-05-01,Privacy & Security,13,10968056.811419984,9607480.707579998,1274069.1540799977,9693987.657339986,8333411.5535,20575537.518999983,16.839613477647827,1360576.103839986,0.0661259081364749,-0.0661259081364749,6,-0.2239320805154562,0.4974783616219845,2023-05-08,0.2747046673243957,-0.0661259081364749,-0.4519673870521547,0.6367915321590744,-0.7992253097532317,training
2023-05-08,Privacy & Security,13,7543036.124250009,13256866.437989997,3237360.666600005,4305675.457650004,10019505.77138999,20799902.562240005,16.850458908230028,-5713830.313739986,-0.2747046673243957,0.2747046673243957,6,-0.44753739183398156,0.4591937830708663,2023-05-15,-0.6338446132851834,0.2747046673243957,-0.0661259081364749,-0.4519673870521547,0.6367915321590744,training
2023-05-15,Privacy & Security,13,19418777.19904998,4351876.437349999,2491961.058279997,16926816.14076998,1859915.379070002,23770653.636399977,16.983962379403085,15066900.76169998,0.6338446132851834,-0.6338446132851834,6,0.3281870967127439,0.684764793856127,2023-05-22,-0.4531981630154418,-0.6338446132851834,0.2747046673243957,-0.0661259081364749,-0.4519673870521547,training
2023-05-22,Privacy & Security,13,31193066.444619983,11737164.598190002,9305077.00614,21887989.438479982,2432087.592050003,42930231.04280999,17.575086845329626,19455901.84642998,0.4531981630154418,-0.4531981630154418,6,-0.2369872645494507,0.8233044417691772,2023-05-29,0.0621468125014834,-0.4531981630154418,-0.6338446132851834,0.2747046673243957,-0.0661259081364749,training
2023-05-29,Privacy & Security,13,7516886.168930005,8513098.628540004,1622399.0527200005,5894487.116210004,6890699.575820003,16029984.797470007,16.589971638588462,-996212.4596099984,-0.0621468125014834,0.0621468125014834,6,-0.3744439663666997,0.9005499451501853,2023-06-05,0.9503217235133764,0.0621468125014834,-0.4531981630154418,-0.6338446132851834,0.2747046673243957,training
2023-06-05,Privacy & Security,13,776284.7071199993,30476196.74034,202025.51345999897,574259.1936600003,30274171.226880003,31252481.44746,17.257609369310348,-29699912.033220004,-0.9503217235133764,0.9503217235133764,6,-0.7063862713807482,0.9433955960742822,2023-06-12,0.3121592125678246,0.9503217235133764,0.0621468125014834,-0.4531981630154418,-0.6338446132851834,training
2023-06-12,Privacy & Security,13,12106523.008869994,23095003.943509985,9897650.082879996,2208872.9259899985,13197353.860629989,35201526.95237998,17.376600047364306,-10988480.93463999,-0.3121592125678246,0.3121592125678246,6,-0.054570687864747384,0.7913142459894301,2023-06-19,-0.7441379223064329,0.3121592125678246,0.9503217235133764,0.0621468125014834,-0.4531981630154418,training
2023-06-19,Privacy & Security,13,18137483.34392002,2660738.071889997,869700.1405999972,17267783.203320023,1791037.9312899995,20798221.41581001,16.850378080241203,15476745.272030022,0.7441379223064329,-0.7441379223064329,6,0.6400216161791331,0.9559246100050054,2023-06-26,0.080152730355393,-0.7441379223064329,0.3121592125678246,0.9503217235133764,0.0621468125014834,training
2023-06-26,Privacy & Security,13,11037925.66499001,12961549.09402,6155695.755080002,4882229.909910007,6805853.338939997,23999474.75901001,16.993542544699068,-1923623.42902999,-0.080152730355393,0.080152730355393,6,0.15325985090791108,0.5514669442402063,2023-07-03,0.8830413752580994,0.080152730355393,-0.7441379223064329,0.3121592125678246,0.9503217235133764,training
2023-07-03,Privacy & Security,13,888120.1580899939,14298791.624600004,782512.8513199942,105607.30676999968,13516278.77328001,15186911.782689998,16.53594461380331,-13410671.46651001,-0.8830413752580994,0.8830413752580994,6,-0.3730534470169286,0.918672392755856,2023-07-10,-0.4307161041222369,0.8830413752580994,0.080152730355393,-0.7441379223064329,0.3121592125678246,training
